manual_score_id,manual_file_path,manual_source_row,sample_id,case_id,source_item_id,model_name,dataset_version,prompt_style,identity_candidate_count,row_order_candidate_count,metadata_filtered_candidate_count,eligible_candidate_count,candidate_model_response_ids,ambiguity_reason
16,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v0_manual_scores.csv,6,mri-behaviour-v3-008-strong,consumer_credit_pricing_strength_008,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v0,,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
17,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v0_manual_scores.csv,7,mri-behaviour-v3-008-weak,consumer_credit_pricing_strength_008,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v0,,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
18,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v0_manual_scores.csv,8,mri-behaviour-v3-009-irrelevant,welfare_fraud_flagging_strength_009,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v0,,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
19,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v0_manual_scores.csv,9,mri-behaviour-v3-009-strong,welfare_fraud_flagging_strength_009,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v0,,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
20,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v0_manual_scores.csv,10,mri-behaviour-v3-009-weak,welfare_fraud_flagging_strength_009,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v0,,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
21,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v0_manual_scores.csv,11,mri-behaviour-v3-010-irrelevant,aged_care_room_sensors_strength_010,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v0,,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
22,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v0_manual_scores.csv,12,mri-behaviour-v3-010-strong,aged_care_room_sensors_strength_010,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v0,,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
23,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v0_manual_scores.csv,13,mri-behaviour-v3-010-weak,aged_care_room_sensors_strength_010,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v0,,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
36,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_manual_scores.csv,2,mri-behaviour-v3-007-irrelevant,workplace_wellbeing_analytics_strength_007,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1,,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
37,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_manual_scores.csv,3,mri-behaviour-v3-007-strong,workplace_wellbeing_analytics_strength_007,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1,,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
38,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_manual_scores.csv,4,mri-behaviour-v3-007-weak,workplace_wellbeing_analytics_strength_007,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1,,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
39,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_manual_scores.csv,5,mri-behaviour-v3-008-irrelevant,consumer_credit_pricing_strength_008,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1,,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
40,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_manual_scores.csv,6,mri-behaviour-v3-008-strong,consumer_credit_pricing_strength_008,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1,,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
41,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_manual_scores.csv,7,mri-behaviour-v3-008-weak,consumer_credit_pricing_strength_008,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1,,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
42,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_manual_scores.csv,8,mri-behaviour-v3-009-irrelevant,welfare_fraud_flagging_strength_009,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1,,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
43,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_manual_scores.csv,9,mri-behaviour-v3-009-strong,welfare_fraud_flagging_strength_009,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1,,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
44,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_manual_scores.csv,10,mri-behaviour-v3-009-weak,welfare_fraud_flagging_strength_009,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1,,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
45,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_manual_scores.csv,11,mri-behaviour-v3-010-irrelevant,aged_care_room_sensors_strength_010,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1,,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
46,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_manual_scores.csv,12,mri-behaviour-v3-010-strong,aged_care_room_sensors_strength_010,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1,,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
47,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_manual_scores.csv,13,mri-behaviour-v3-010-weak,aged_care_room_sensors_strength_010,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1,,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
96,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gemma-3-4b-it_manual_scores.csv,2,mri-behaviour-v3-007-irrelevant,workplace_wellbeing_analytics_strength_007,,gemma-3-4b-it,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
97,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gemma-3-4b-it_manual_scores.csv,3,mri-behaviour-v3-007-strong,workplace_wellbeing_analytics_strength_007,,gemma-3-4b-it,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
98,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gemma-3-4b-it_manual_scores.csv,4,mri-behaviour-v3-007-weak,workplace_wellbeing_analytics_strength_007,,gemma-3-4b-it,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
99,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gemma-3-4b-it_manual_scores.csv,5,mri-behaviour-v3-008-irrelevant,consumer_credit_pricing_strength_008,,gemma-3-4b-it,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
100,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gemma-3-4b-it_manual_scores.csv,6,mri-behaviour-v3-008-strong,consumer_credit_pricing_strength_008,,gemma-3-4b-it,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
101,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gemma-3-4b-it_manual_scores.csv,7,mri-behaviour-v3-008-weak,consumer_credit_pricing_strength_008,,gemma-3-4b-it,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
102,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gemma-3-4b-it_manual_scores.csv,8,mri-behaviour-v3-009-irrelevant,welfare_fraud_flagging_strength_009,,gemma-3-4b-it,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
103,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gemma-3-4b-it_manual_scores.csv,9,mri-behaviour-v3-009-strong,welfare_fraud_flagging_strength_009,,gemma-3-4b-it,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
104,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gemma-3-4b-it_manual_scores.csv,10,mri-behaviour-v3-009-weak,welfare_fraud_flagging_strength_009,,gemma-3-4b-it,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
105,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gemma-3-4b-it_manual_scores.csv,11,mri-behaviour-v3-010-irrelevant,aged_care_room_sensors_strength_010,,gemma-3-4b-it,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
106,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gemma-3-4b-it_manual_scores.csv,12,mri-behaviour-v3-010-strong,aged_care_room_sensors_strength_010,,gemma-3-4b-it,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
107,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gemma-3-4b-it_manual_scores.csv,13,mri-behaviour-v3-010-weak,aged_care_room_sensors_strength_010,,gemma-3-4b-it,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
108,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4.1-mini_manual_scores.csv,2,mri-behaviour-v3-007-irrelevant,workplace_wellbeing_analytics_strength_007,,gpt-4.1-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
109,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4.1-mini_manual_scores.csv,3,mri-behaviour-v3-007-strong,workplace_wellbeing_analytics_strength_007,,gpt-4.1-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
110,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4.1-mini_manual_scores.csv,4,mri-behaviour-v3-007-weak,workplace_wellbeing_analytics_strength_007,,gpt-4.1-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
111,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4.1-mini_manual_scores.csv,5,mri-behaviour-v3-008-irrelevant,consumer_credit_pricing_strength_008,,gpt-4.1-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
112,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4.1-mini_manual_scores.csv,6,mri-behaviour-v3-008-strong,consumer_credit_pricing_strength_008,,gpt-4.1-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
113,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4.1-mini_manual_scores.csv,7,mri-behaviour-v3-008-weak,consumer_credit_pricing_strength_008,,gpt-4.1-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
114,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4.1-mini_manual_scores.csv,8,mri-behaviour-v3-009-irrelevant,welfare_fraud_flagging_strength_009,,gpt-4.1-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
115,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4.1-mini_manual_scores.csv,9,mri-behaviour-v3-009-strong,welfare_fraud_flagging_strength_009,,gpt-4.1-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
116,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4.1-mini_manual_scores.csv,10,mri-behaviour-v3-009-weak,welfare_fraud_flagging_strength_009,,gpt-4.1-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
117,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4.1-mini_manual_scores.csv,11,mri-behaviour-v3-010-irrelevant,aged_care_room_sensors_strength_010,,gpt-4.1-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
118,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4.1-mini_manual_scores.csv,12,mri-behaviour-v3-010-strong,aged_care_room_sensors_strength_010,,gpt-4.1-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
119,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4.1-mini_manual_scores.csv,13,mri-behaviour-v3-010-weak,aged_care_room_sensors_strength_010,,gpt-4.1-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
120,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4o-mini_manual_scores.csv,2,mri-behaviour-v3-007-irrelevant,workplace_wellbeing_analytics_strength_007,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,24,1,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
121,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4o-mini_manual_scores.csv,3,mri-behaviour-v3-007-strong,workplace_wellbeing_analytics_strength_007,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,24,1,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
122,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4o-mini_manual_scores.csv,4,mri-behaviour-v3-007-weak,workplace_wellbeing_analytics_strength_007,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,24,1,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
123,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4o-mini_manual_scores.csv,5,mri-behaviour-v3-008-irrelevant,consumer_credit_pricing_strength_008,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,24,1,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
124,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4o-mini_manual_scores.csv,6,mri-behaviour-v3-008-strong,consumer_credit_pricing_strength_008,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,24,1,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
125,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4o-mini_manual_scores.csv,7,mri-behaviour-v3-008-weak,consumer_credit_pricing_strength_008,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,24,1,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
126,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4o-mini_manual_scores.csv,8,mri-behaviour-v3-009-irrelevant,welfare_fraud_flagging_strength_009,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,24,1,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
127,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4o-mini_manual_scores.csv,9,mri-behaviour-v3-009-strong,welfare_fraud_flagging_strength_009,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,24,1,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
128,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4o-mini_manual_scores.csv,10,mri-behaviour-v3-009-weak,welfare_fraud_flagging_strength_009,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,24,1,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
129,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4o-mini_manual_scores.csv,11,mri-behaviour-v3-010-irrelevant,aged_care_room_sensors_strength_010,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,24,1,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
130,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4o-mini_manual_scores.csv,12,mri-behaviour-v3-010-strong,aged_care_room_sensors_strength_010,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,24,1,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
131,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4o-mini_manual_scores.csv,13,mri-behaviour-v3-010-weak,aged_care_room_sensors_strength_010,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,24,1,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
132,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_llama-3.1-8b-instruct_manual_scores.csv,2,mri-behaviour-v3-007-irrelevant,workplace_wellbeing_analytics_strength_007,,llama-3.1-8b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
133,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_llama-3.1-8b-instruct_manual_scores.csv,3,mri-behaviour-v3-007-strong,workplace_wellbeing_analytics_strength_007,,llama-3.1-8b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
134,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_llama-3.1-8b-instruct_manual_scores.csv,4,mri-behaviour-v3-007-weak,workplace_wellbeing_analytics_strength_007,,llama-3.1-8b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
135,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_llama-3.1-8b-instruct_manual_scores.csv,5,mri-behaviour-v3-008-irrelevant,consumer_credit_pricing_strength_008,,llama-3.1-8b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
136,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_llama-3.1-8b-instruct_manual_scores.csv,6,mri-behaviour-v3-008-strong,consumer_finance_pricing_strength_008,,llama-3.1-8b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,8,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
137,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_llama-3.1-8b-instruct_manual_scores.csv,7,mri-behaviour-v3-008-weak,consumer_credit_pricing_strength_008,,llama-3.1-8b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
138,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_llama-3.1-8b-instruct_manual_scores.csv,8,mri-behaviour-v3-009-irrelevant,welfare_fraud_flagging_strength_009,,llama-3.1-8b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
139,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_llama-3.1-8b-instruct_manual_scores.csv,9,mri-behaviour-v3-009-strong,welfare_fraud_flagging_strength_009,,llama-3.1-8b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
140,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_llama-3.1-8b-instruct_manual_scores.csv,10,mri-behaviour-v3-009-weak,welfare_fraud_flagging_strength_009,,llama-3.1-8b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
141,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_llama-3.1-8b-instruct_manual_scores.csv,11,mri-behaviour-v3-010-irrelevant,aged_care_room_sensors_strength_010,,llama-3.1-8b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
142,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_llama-3.1-8b-instruct_manual_scores.csv,12,mri-behaviour-v3-010-strong,aged_care_room_sensors_strength_010,,llama-3.1-8b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
143,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_llama-3.1-8b-instruct_manual_scores.csv,13,mri-behaviour-v3-010-weak,aged_care_room_sensors_strength_010,,llama-3.1-8b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
144,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_qwen-2.5-7b-instruct_manual_scores.csv,2,mri-behaviour-v3-007-irrelevant,workplace_wellbeing_analytics_strength_007,,qwen-2.5-7b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
145,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_qwen-2.5-7b-instruct_manual_scores.csv,3,mri-behaviour-v3-007-strong,workplace_wellbeing_analytics_strength_007,,qwen-2.5-7b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
