manual_score_id,manual_file_path,manual_source_row,sample_id,case_id,source_item_id,model_name,dataset_version,prompt_style,expected_output_pair_available,expected_output_file_paths,identity_candidate_count,row_order_candidate_count,metadata_filtered_candidate_count,eligible_candidate_count,proposed_link_method
12,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v0_manual_scores.csv,2,mri-behaviour-v3-007-irrelevant,workplace_wellbeing_analytics_strength_007,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v0,,False,,24,0,0,0,
13,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v0_manual_scores.csv,3,mri-behaviour-v3-007-strong,workplace_wellbeing_analytics_strength_007,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v0,,False,,24,0,0,0,
14,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v0_manual_scores.csv,4,mri-behaviour-v3-007-weak,workplace_wellbeing_analytics_strength_007,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v0,,False,,24,0,0,0,
15,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v0_manual_scores.csv,5,mri-behaviour-v3-008-irrelevant,consumer_credit_pricing_strength_008,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v0,,False,,24,0,0,0,
16,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v0_manual_scores.csv,6,mri-behaviour-v3-008-strong,consumer_credit_pricing_strength_008,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v0,,False,,24,0,0,0,
17,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v0_manual_scores.csv,7,mri-behaviour-v3-008-weak,consumer_credit_pricing_strength_008,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v0,,False,,24,0,0,0,
18,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v0_manual_scores.csv,8,mri-behaviour-v3-009-irrelevant,welfare_fraud_flagging_strength_009,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v0,,False,,24,0,0,0,
19,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v0_manual_scores.csv,9,mri-behaviour-v3-009-strong,welfare_fraud_flagging_strength_009,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v0,,False,,24,0,0,0,
20,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v0_manual_scores.csv,10,mri-behaviour-v3-009-weak,welfare_fraud_flagging_strength_009,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v0,,False,,24,0,0,0,
21,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v0_manual_scores.csv,11,mri-behaviour-v3-010-irrelevant,aged_care_room_sensors_strength_010,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v0,,False,,24,0,0,0,
22,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v0_manual_scores.csv,12,mri-behaviour-v3-010-strong,aged_care_room_sensors_strength_010,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v0,,False,,24,0,0,0,
23,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v0_manual_scores.csv,13,mri-behaviour-v3-010-weak,aged_care_room_sensors_strength_010,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v0,,False,,24,0,0,0,
36,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_manual_scores.csv,2,mri-behaviour-v3-007-irrelevant,workplace_wellbeing_analytics_strength_007,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1,,False,,24,0,0,0,
37,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_manual_scores.csv,3,mri-behaviour-v3-007-strong,workplace_wellbeing_analytics_strength_007,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1,,False,,24,0,0,0,
38,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_manual_scores.csv,4,mri-behaviour-v3-007-weak,workplace_wellbeing_analytics_strength_007,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1,,False,,24,0,0,0,
39,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_manual_scores.csv,5,mri-behaviour-v3-008-irrelevant,consumer_credit_pricing_strength_008,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1,,False,,24,0,0,0,
40,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_manual_scores.csv,6,mri-behaviour-v3-008-strong,consumer_credit_pricing_strength_008,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1,,False,,24,0,0,0,
41,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_manual_scores.csv,7,mri-behaviour-v3-008-weak,consumer_credit_pricing_strength_008,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1,,False,,24,0,0,0,
42,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_manual_scores.csv,8,mri-behaviour-v3-009-irrelevant,welfare_fraud_flagging_strength_009,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1,,False,,24,0,0,0,
43,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_manual_scores.csv,9,mri-behaviour-v3-009-strong,welfare_fraud_flagging_strength_009,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1,,False,,24,0,0,0,
44,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_manual_scores.csv,10,mri-behaviour-v3-009-weak,welfare_fraud_flagging_strength_009,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1,,False,,24,0,0,0,
45,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_manual_scores.csv,11,mri-behaviour-v3-010-irrelevant,aged_care_room_sensors_strength_010,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1,,False,,24,0,0,0,
46,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_manual_scores.csv,12,mri-behaviour-v3-010-strong,aged_care_room_sensors_strength_010,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1,,False,,24,0,0,0,
47,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_manual_scores.csv,13,mri-behaviour-v3-010-weak,aged_care_room_sensors_strength_010,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1,,False,,24,0,0,0,
96,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gemma-3-4b-it_manual_scores.csv,2,mri-behaviour-v3-007-irrelevant,workplace_wellbeing_analytics_strength_007,,gemma-3-4b-it,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
97,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gemma-3-4b-it_manual_scores.csv,3,mri-behaviour-v3-007-strong,workplace_wellbeing_analytics_strength_007,,gemma-3-4b-it,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
98,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gemma-3-4b-it_manual_scores.csv,4,mri-behaviour-v3-007-weak,workplace_wellbeing_analytics_strength_007,,gemma-3-4b-it,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
99,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gemma-3-4b-it_manual_scores.csv,5,mri-behaviour-v3-008-irrelevant,consumer_credit_pricing_strength_008,,gemma-3-4b-it,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
100,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gemma-3-4b-it_manual_scores.csv,6,mri-behaviour-v3-008-strong,consumer_credit_pricing_strength_008,,gemma-3-4b-it,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
101,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gemma-3-4b-it_manual_scores.csv,7,mri-behaviour-v3-008-weak,consumer_credit_pricing_strength_008,,gemma-3-4b-it,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
102,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gemma-3-4b-it_manual_scores.csv,8,mri-behaviour-v3-009-irrelevant,welfare_fraud_flagging_strength_009,,gemma-3-4b-it,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
103,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gemma-3-4b-it_manual_scores.csv,9,mri-behaviour-v3-009-strong,welfare_fraud_flagging_strength_009,,gemma-3-4b-it,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
104,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gemma-3-4b-it_manual_scores.csv,10,mri-behaviour-v3-009-weak,welfare_fraud_flagging_strength_009,,gemma-3-4b-it,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
105,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gemma-3-4b-it_manual_scores.csv,11,mri-behaviour-v3-010-irrelevant,aged_care_room_sensors_strength_010,,gemma-3-4b-it,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
106,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gemma-3-4b-it_manual_scores.csv,12,mri-behaviour-v3-010-strong,aged_care_room_sensors_strength_010,,gemma-3-4b-it,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
107,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gemma-3-4b-it_manual_scores.csv,13,mri-behaviour-v3-010-weak,aged_care_room_sensors_strength_010,,gemma-3-4b-it,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
108,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4.1-mini_manual_scores.csv,2,mri-behaviour-v3-007-irrelevant,workplace_wellbeing_analytics_strength_007,,gpt-4.1-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
109,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4.1-mini_manual_scores.csv,3,mri-behaviour-v3-007-strong,workplace_wellbeing_analytics_strength_007,,gpt-4.1-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
110,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4.1-mini_manual_scores.csv,4,mri-behaviour-v3-007-weak,workplace_wellbeing_analytics_strength_007,,gpt-4.1-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
111,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4.1-mini_manual_scores.csv,5,mri-behaviour-v3-008-irrelevant,consumer_credit_pricing_strength_008,,gpt-4.1-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
112,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4.1-mini_manual_scores.csv,6,mri-behaviour-v3-008-strong,consumer_credit_pricing_strength_008,,gpt-4.1-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
113,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4.1-mini_manual_scores.csv,7,mri-behaviour-v3-008-weak,consumer_credit_pricing_strength_008,,gpt-4.1-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
114,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4.1-mini_manual_scores.csv,8,mri-behaviour-v3-009-irrelevant,welfare_fraud_flagging_strength_009,,gpt-4.1-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
115,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4.1-mini_manual_scores.csv,9,mri-behaviour-v3-009-strong,welfare_fraud_flagging_strength_009,,gpt-4.1-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
116,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4.1-mini_manual_scores.csv,10,mri-behaviour-v3-009-weak,welfare_fraud_flagging_strength_009,,gpt-4.1-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
117,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4.1-mini_manual_scores.csv,11,mri-behaviour-v3-010-irrelevant,aged_care_room_sensors_strength_010,,gpt-4.1-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
118,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4.1-mini_manual_scores.csv,12,mri-behaviour-v3-010-strong,aged_care_room_sensors_strength_010,,gpt-4.1-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
119,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4.1-mini_manual_scores.csv,13,mri-behaviour-v3-010-weak,aged_care_room_sensors_strength_010,,gpt-4.1-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
120,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4o-mini_manual_scores.csv,2,mri-behaviour-v3-007-irrelevant,workplace_wellbeing_analytics_strength_007,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,True,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4o-mini_outputs.csv,24,1,0,0,
121,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4o-mini_manual_scores.csv,3,mri-behaviour-v3-007-strong,workplace_wellbeing_analytics_strength_007,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,True,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4o-mini_outputs.csv,24,1,0,0,
122,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4o-mini_manual_scores.csv,4,mri-behaviour-v3-007-weak,workplace_wellbeing_analytics_strength_007,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,True,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4o-mini_outputs.csv,24,1,0,0,
123,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4o-mini_manual_scores.csv,5,mri-behaviour-v3-008-irrelevant,consumer_credit_pricing_strength_008,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,True,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4o-mini_outputs.csv,24,1,0,0,
124,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4o-mini_manual_scores.csv,6,mri-behaviour-v3-008-strong,consumer_credit_pricing_strength_008,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,True,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4o-mini_outputs.csv,24,1,0,0,
125,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4o-mini_manual_scores.csv,7,mri-behaviour-v3-008-weak,consumer_credit_pricing_strength_008,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,True,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4o-mini_outputs.csv,24,1,0,0,
126,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4o-mini_manual_scores.csv,8,mri-behaviour-v3-009-irrelevant,welfare_fraud_flagging_strength_009,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,True,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4o-mini_outputs.csv,24,1,0,0,
127,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4o-mini_manual_scores.csv,9,mri-behaviour-v3-009-strong,welfare_fraud_flagging_strength_009,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,True,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4o-mini_outputs.csv,24,1,0,0,
128,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4o-mini_manual_scores.csv,10,mri-behaviour-v3-009-weak,welfare_fraud_flagging_strength_009,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,True,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4o-mini_outputs.csv,24,1,0,0,
129,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4o-mini_manual_scores.csv,11,mri-behaviour-v3-010-irrelevant,aged_care_room_sensors_strength_010,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,True,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4o-mini_outputs.csv,24,1,0,0,
130,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4o-mini_manual_scores.csv,12,mri-behaviour-v3-010-strong,aged_care_room_sensors_strength_010,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,True,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4o-mini_outputs.csv,24,1,0,0,
131,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4o-mini_manual_scores.csv,13,mri-behaviour-v3-010-weak,aged_care_room_sensors_strength_010,,gpt-4o-mini,v3_evidence_strength_trap_expansion_v1_structured,structured,True,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_gpt-4o-mini_outputs.csv,24,1,0,0,
132,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_llama-3.1-8b-instruct_manual_scores.csv,2,mri-behaviour-v3-007-irrelevant,workplace_wellbeing_analytics_strength_007,,llama-3.1-8b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
133,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_llama-3.1-8b-instruct_manual_scores.csv,3,mri-behaviour-v3-007-strong,workplace_wellbeing_analytics_strength_007,,llama-3.1-8b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
134,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_llama-3.1-8b-instruct_manual_scores.csv,4,mri-behaviour-v3-007-weak,workplace_wellbeing_analytics_strength_007,,llama-3.1-8b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
135,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_llama-3.1-8b-instruct_manual_scores.csv,5,mri-behaviour-v3-008-irrelevant,consumer_credit_pricing_strength_008,,llama-3.1-8b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
136,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_llama-3.1-8b-instruct_manual_scores.csv,6,mri-behaviour-v3-008-strong,consumer_finance_pricing_strength_008,,llama-3.1-8b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,8,0,0,0,
137,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_llama-3.1-8b-instruct_manual_scores.csv,7,mri-behaviour-v3-008-weak,consumer_credit_pricing_strength_008,,llama-3.1-8b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
138,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_llama-3.1-8b-instruct_manual_scores.csv,8,mri-behaviour-v3-009-irrelevant,welfare_fraud_flagging_strength_009,,llama-3.1-8b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
139,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_llama-3.1-8b-instruct_manual_scores.csv,9,mri-behaviour-v3-009-strong,welfare_fraud_flagging_strength_009,,llama-3.1-8b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
140,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_llama-3.1-8b-instruct_manual_scores.csv,10,mri-behaviour-v3-009-weak,welfare_fraud_flagging_strength_009,,llama-3.1-8b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
141,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_llama-3.1-8b-instruct_manual_scores.csv,11,mri-behaviour-v3-010-irrelevant,aged_care_room_sensors_strength_010,,llama-3.1-8b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
142,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_llama-3.1-8b-instruct_manual_scores.csv,12,mri-behaviour-v3-010-strong,aged_care_room_sensors_strength_010,,llama-3.1-8b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
143,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_llama-3.1-8b-instruct_manual_scores.csv,13,mri-behaviour-v3-010-weak,aged_care_room_sensors_strength_010,,llama-3.1-8b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
144,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_qwen-2.5-7b-instruct_manual_scores.csv,2,mri-behaviour-v3-007-irrelevant,workplace_wellbeing_analytics_strength_007,,qwen-2.5-7b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
145,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_qwen-2.5-7b-instruct_manual_scores.csv,3,mri-behaviour-v3-007-strong,workplace_wellbeing_analytics_strength_007,,qwen-2.5-7b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
146,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_qwen-2.5-7b-instruct_manual_scores.csv,4,mri-behaviour-v3-007-weak,workplace_wellbeing_analytics_strength_007,,qwen-2.5-7b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
147,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_qwen-2.5-7b-instruct_manual_scores.csv,5,mri-behaviour-v3-008-irrelevant,consumer_credit_pricing_strength_008,,qwen-2.5-7b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
148,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_qwen-2.5-7b-instruct_manual_scores.csv,6,mri-behaviour-v3-008-strong,consumer_credit_pricing_strength_008,,qwen-2.5-7b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
149,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_qwen-2.5-7b-instruct_manual_scores.csv,7,mri-behaviour-v3-008-weak,consumer_credit_pricing_strength_008,,qwen-2.5-7b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
150,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_qwen-2.5-7b-instruct_manual_scores.csv,8,mri-behaviour-v3-009-irrelevant,welfare_fraud_flagging_strength_009,,qwen-2.5-7b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
151,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_qwen-2.5-7b-instruct_manual_scores.csv,9,mri-behaviour-v3-009-strong,welfare_fraud_flagging_strength_009,,qwen-2.5-7b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
152,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_qwen-2.5-7b-instruct_manual_scores.csv,10,mri-behaviour-v3-009-weak,welfare_fraud_flagging_strength_009,,qwen-2.5-7b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
153,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_qwen-2.5-7b-instruct_manual_scores.csv,11,mri-behaviour-v3-010-irrelevant,aged_care_room_sensors_strength_010,,qwen-2.5-7b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
154,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_qwen-2.5-7b-instruct_manual_scores.csv,12,mri-behaviour-v3-010-strong,aged_care_room_sensors_strength_010,,qwen-2.5-7b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
155,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_qwen-2.5-7b-instruct_manual_scores.csv,13,mri-behaviour-v3-010-weak,aged_care_room_sensors_strength_010,,qwen-2.5-7b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,False,,24,0,0,0,
